City,Longitude,Latitude
广元市,105.844004,32.435774
南充市,106.110565,30.837235
巴中市,106.747548,31.867853
德阳市,104.397795,31.127449
绵阳市,104.679127,31.467673
成都市,104.066301,30.572961
广安市,106.632647,30.456354
达州市,107.467780,31.209278
遂宁市,105.592602,30.532680
资阳市,104.627265,30.129236
眉山市,103.848417,30.077113
内江市,105.057992,29.580210
乐山市,103.766085,29.552275
自贡市,104.779307,29.339240
泸州市,105.441866,28.870980
宜宾市,104.642826,28.752354
凉山彝族自治州,102.267713,27.881396
攀枝花市,101.718460,26.582417
甘孜藏族自治州,101.962310,30.049520
雅安市,103.041538,30.009998
阿坝藏族羌族自治州,102.224504,31.899427
